DateTime;account_no;Description;credit_debit_ind;txn_amount
2020/12/30 00:52:56.859 +02:00;KN11000000001;IMPS;C;1000
2020/12/30 00:54:56.859 +02:00;KN11000000002;Miscellaneous;C;1000
2020/12/30 00:55:56.859 +02:00;KN11000000002;Miscellaneous;C;50000
2020/12/30 00:56:56.859 +02:00;KN11000000002;Miscellaneous;D;25000
2020/12/30 00:57:56.859 +02:00;KN11000000002;Miscellaneous;C;10000
2020/12/30 00:58:56.859 +02:00;KN11000000002;Miscellaneous;D;5000
2020/12/30 00:58:57.859 +02:00;KN11000000002;Miscellaneous;C;10000
2020/12/30 00:59:56.859 +02:00;KN11000000002;Miscellaneous;C;10000
2020/12/30 00:59:56.859 +02:00;KN11000000003;Bill;C;1000
2020/12/30 00:54:56.859 +02:00;KN11000000003;Bill;C;50
2020/12/30 00:55:56.859 +02:00;KN11000000003;Bill;C;30
